type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
phonotactics_preference,-0.1705734219769127,-0.1703753111499941,-2.17104522066125,0.0061952895773803,0.0061952374588344,-0.3248425044068735,-0.0163043395469518,-0.3246437446758917,-0.0161068776240964,0.0302921174109713,run1,apc,sanity_check_original,783.0,783.0,195750,english
phonotactics_preference,-0.1396861348544079,-0.1395238977639847,-1.7779142374792274,0.0061878952286038,0.006187860276271,-0.2938631263526573,0.0144908566438415,-0.2937004538271687,0.0146526582991993,0.0758891320953678,run1,apc,sanity_check_original,652.5,652.5,163125,english
phonotactics_preference,0.0396865852045939,0.0396404916096989,0.5051277633655096,0.0061740548032756,0.0061740519819251,-0.114317886430135,0.1936910568393229,-0.1143639448374067,0.1936449280568046,0.61364155345628,run1,apc,sanity_check_original,43.7,43.7,10926,english
phonotactics_preference,0.278573185834218,0.2782496397414953,3.545657797682084,0.0062327183795261,0.0062325793688397,0.1238387972971738,0.4333075743712621,0.1235169767640051,0.4329823027189854,0.0004199519747952,run1,apc,sanity_check_original,0.0,0.0,0,english
phonotactics_preference,-0.4371490413231866,-0.4366413188593966,-5.563998927158823,0.0063202926576618,0.0063199503405364,-0.592966703926447,-0.2813313787199262,-0.5924547617390232,-0.2808278759797699,3.8728681187361256e-08,run1,apc,full_term,0.0,223.9,55976,english
phonotactics_preference,-0.0844344994753318,-0.0843364338545707,-1.0746757286117847,0.0061783404202944,0.0061783276497494,-0.2384924116538087,0.069623412703145,-0.2383941868151682,0.0697213191060267,0.2829213338155955,run1,apc,full_term,652.5,876.4,219101,english
phonotactics_preference,-0.0107732619223642,-0.0107607494230351,-0.1371212380944463,0.0061729290610898,0.0061729288531852,-0.1647636927654615,0.143217168920733,-0.1647511776729296,0.1432296788268594,0.8909776972573045,run1,apc,full_term,1044.0,1267.9,316976,english
phonotactics_preference,-0.0886184222346414,-0.0885154972378532,-1.1279283714030182,0.0061788990931785,0.0061788850256568,-0.2426832995547806,0.0654464550854977,-0.2425801991778638,0.0655492047021573,0.2597689647627458,run1,apc,full_term,783.0,1006.9,251726,english
phonotactics_preference,-0.1099785498088418,-0.1098508163015145,-1.399798410388102,0.0061821722850447,0.0061821506187053,-0.2640842286640874,0.0441271290464037,-0.2639562251134223,0.0442545925103932,0.1620537912023935,run1,apc,full_term,913.5,1137.4,284351,english
phonotactics_preference,-0.1357059776258456,-0.1355483632499735,-1.7272551064821355,0.0061870494694161,0.0061870164805399,-0.2898724323374972,0.018460477085806,-0.2897144069591835,0.0186176804592363,0.0846017244713219,run1,apc,full_term,1566.0,1789.9,447477,english
phonotactics_preference,-0.1085645453357888,-0.1084384541100794,-1.3818010716606723,0.0061819338429814,0.0061819127301927,-0.2626672522882258,0.045538161616648,-0.262540897913415,0.045663989693256,0.1675146471324509,run3,cpc,preterm,693.0,736.7,184176,english
phonotactics_preference,0.0887529086785318,0.0886498274837832,1.1296401043791644,0.0061789174990732,0.0061789033888216,-0.0653121981080346,0.2428180154650983,-0.0654151033902021,0.2427147583577686,0.259052099070088,run3,cpc,preterm,0.0,43.7,10926,english
