type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
native,1.2093758949512463,1.2093516501853137,,0.004629791296583,0.0046297912935892,1.2003016707540068,1.2184501191484862,1.2002774259939415,1.2184258743766856,0.0,run1,apc,sanity_check_original,783.0,783.0,195750,english
native,1.2169185079067633,1.2168941131561593,,0.0046297946680467,0.0046297946649182,1.207844277101576,1.2259927387119505,1.2078198823571038,1.2259683439552147,0.0,run1,apc,sanity_check_original,652.5,652.5,163125,english
native,2.1985376239511107,2.1984936176507777,,0.0046300003369045,0.0046300003255604,2.1894629900423697,2.207612257859852,2.1894189837642704,2.207568251537285,0.0,run1,apc,sanity_check_original,43.7,43.7,10926,english
native,1.6030044700211272,1.6029723307895765,,0.0046298485953504,0.0046298485900638,1.593930133520367,1.6120788065218874,1.5938979942991778,1.6120466672799751,0.0,run1,apc,sanity_check_original,0.0,0.0,0,english
native,-0.0943276428005876,-0.0943257625313268,,0.0046297169028744,0.0046297169028571,-0.1034017211888378,-0.0852535644123373,-0.1033998409195432,-0.0852516841431105,2.822282481256289e-92,run1,apc,full_term,0.0,223.9,55976,english
native,1.1551453377961107,1.1551221805797849,,0.0046297852352542,0.0046297852325029,1.1460711254788571,1.1642195501133643,1.1460479682679237,1.164196392891646,0.0,run1,apc,full_term,652.5,876.4,219101,english
native,1.1668048192211589,1.1667814286845712,,0.0046297875468843,0.0046297875440406,1.1577306023731937,1.1758790360691245,1.1577072118421794,1.175855645526963,0.0,run1,apc,full_term,1044.0,1267.9,316976,english
native,1.16782299624473,1.1677995942390695,,0.0046297869093756,0.0046297869065582,1.1587487806462586,1.1768972118432013,1.1587253786461202,1.1768738098320188,0.0,run1,apc,full_term,783.0,1006.9,251726,english
native,1.16357965213125,1.1635563337954224,,0.004629786895406,0.004629786892589,1.1545054365601586,1.1726538677023417,1.154482118229852,1.1726305493609928,0.0,run1,apc,full_term,913.5,1137.4,284351,english
native,1.123439635956973,1.123417105277333,,0.0046297800673724,0.004629780064827,1.1143654337685815,1.1325138381453643,1.1143429030939305,1.1324913074607357,0.0,run1,apc,full_term,1566.0,1789.9,447477,english
native,1.1982329460781802,1.1982089102224294,,0.0046297945171658,0.004629794514042,1.1891587155687142,1.2073071765876462,1.1891346797190858,1.207283140725773,0.0,run3,cpc,preterm,693.0,736.7,184176,english
native,1.4626427917457276,1.46261341191736,,0.0046298286275397,0.0046298286230465,1.453568494381157,1.471717089110298,1.453539114561596,1.4716877092731238,0.0,run3,cpc,preterm,0.0,43.7,10926,english
native,1.3043526443324136,1.30432648064672,,0.0046298111779572,0.004629811174167,1.2952783811683966,1.3134269074964309,1.2952522174901313,1.3134007438033084,0.0,run3,cpc,preterm,562.5,606.2,151551,english
native,1.244837377802912,1.2448124091846409,,0.0046298013856746,0.0046298013822762,1.235763133831416,1.253911621774408,1.2357381652198056,1.253886653149476,0.0,run3,cpc,preterm,823.5,867.2,216801,english
native,1.189725367164271,1.1897015038803185,,0.0046297930178913,0.0046297930148277,1.180651139593329,1.1987995947352128,1.180627276315381,1.1987757314452556,0.0,run3,cpc,preterm,954.0,997.7,249426,english
native,1.2165670572234928,1.2165426573476157,,0.0046297961182571,0.0046297961150696,1.2074928235759457,1.22564129087104,1.2074684237063158,1.2256168909889156,0.0,run3,cpc,preterm,1476.0,1519.7,379927,english
native,1.4820122953595845,1.4819825525809838,,0.0046298260460473,0.0046298260416595,1.4729380030546462,1.4910865876645227,1.4729082602846455,1.491056844877322,0.0,run3,cpc,sanity_check_filtered,0.0,0.0,0,english
native,1.542914010946162,1.542883035491503,,0.0046298392473229,0.0046298392424053,1.5338396927671991,1.551988329125125,1.5338087173221784,1.5519573536608278,0.0,run3,cpc,sanity_check_original,223.9,223.9,55976,english
native,1.437370951513398,1.437342100422791,,0.0046298299769217,0.004629829972377,1.4282966515040874,1.4464452515227084,1.4282678004223883,1.4464164004231943,0.0,run3,cpc,sanity_check_original,913.5,913.5,228375,english
native,1.39984741691733,1.399819330139849,,0.0046298285996222,0.0046298285951343,1.390773119607477,1.408921714227183,1.390745032838792,1.4088936274409058,0.0,run3,cpc,sanity_check_original,1566.0,1566.0,391501,english
native,1.4490679886587423,1.4490389087748232,,0.0046298338534534,0.0046298338487544,1.4399936810515692,1.4581422962659154,1.43996460117686,1.4581132163727863,0.0,run3,cpc,sanity_check_original,1044.0,1044.0,261000,english
native,1.4689586378913135,1.4689291561494164,,0.004629837658723,0.0046298376538714,1.459884322825949,1.478032952956678,1.459854841093561,1.478003471205272,0.0,run3,cpc,sanity_check_original,783.0,783.0,195750,english
native,1.4495654142799763,1.4495363317471022,,0.0046298354775878,0.0046298354728246,1.4404911034895589,1.4586397250703944,1.44046202096602,1.4586106425281844,0.0,run3,cpc,sanity_check_original,652.5,652.5,163125,english
native,1.4502920187011308,1.4502628940127926,,0.0046298171988165,0.0046298171947803,1.4412177437364464,1.4593662936658152,1.4411886190560188,1.4593371689695664,0.0,run3,cpc,sanity_check_original,43.7,43.7,10926,english
native,1.3458341308039243,1.3458071301765775,,0.0046298060642254,0.0046298060606388,1.3367598776626373,1.3549083839452114,1.33673287704232,1.354881383310835,0.0,run3,cpc,sanity_check_original,0.0,0.0,0,english
native,1.4955340812132447,1.4955040475163524,,0.0046298272500215,0.0046298272455826,1.4864597865485605,1.5046083758779292,1.486429752860368,1.5045783421723369,0.0,run3,cpc,full_term,0.0,223.9,55976,english
