type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
tone_discrimination,0.1046989248421366,0.1046849370098264,-3.923067456441647,0.0266880386572607,0.0266880386537811,-0.2154900841930894,0.4248879338773627,-0.2155040720045268,0.4248739460241796,8.847915024181528e-05,run2,apc,preterm,823.5,867.2,216801,english,10.5,significant
tone_discrimination,0.099607295386528,0.0995939877986341,-3.732284161888475,0.0266880374214057,0.0266880374182563,-0.2205817062351295,0.4197962970081856,-0.2205950138041313,0.4197829894013995,0.0001916370120617,run1,apc,preterm,954.0,997.7,249426,english,12.0,significant
tone_discrimination,0.1018194150298835,0.101805811901623,-3.815172258358312,0.0266880379507702,0.0266880379474794,-0.2183695897672922,0.4220084198270593,-0.2183831928758121,0.4219948166790583,0.0001375621652035,run3,apc,preterm,954.0,997.7,249426,english,12.0,significant
tone_discrimination,0.0974237998301985,0.0974107839584777,-3.650468609615736,0.0266880369102935,0.0266880369072807,-0.2227651987254316,0.4176127983858287,-0.2227782145790794,0.4175997824960349,0.0002641571313072,run2,apc,preterm,954.0,997.7,249426,english,12.0,significant
tone_discrimination,0.1044877907157392,0.1044738310910611,-3.915156263261175,0.0266880386047894,0.0266880386013239,-0.2157012180047254,0.4246767994362039,-0.2157151776086147,0.424662839790737,9.142356254845276e-05,run1,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
tone_discrimination,0.1059720437385853,0.1059578858169102,-3.970771206201919,0.0266880389759025,0.0266880389723379,-0.214216967208089,0.4261610546852598,-0.2142311251083806,0.4261468967422011,7.254447425043611e-05,run3,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
tone_discrimination,0.1034163720450642,0.103402555562493,-3.8750102185383,0.0266880383401518,0.026688038336757,-0.2167726350879093,0.4236053791780377,-0.2167864515501158,0.4235915626751019,0.0001078440038146,run2,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
tone_discrimination,0.078298848643684,0.0782883878756621,-2.933856918340236,0.0266880329176799,0.0266880329157338,-0.2418901259613086,0.3984878232486767,-0.2419005867176568,0.3984773624689812,0.0033613666418694,run1,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,significant
tone_discrimination,0.0565999502048185,0.056592388421224,-2.1207994544312445,0.0266880294401166,0.0266880294390997,-0.2635890035391866,0.3767889039488237,-0.2635965653166811,0.3767813421591292,0.0339825031324493,run3,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,significant
tone_discrimination,0.0512458153490271,0.0512389688807106,-1.920180085685811,0.0266880287541204,0.0266880287532868,-0.2689431342798671,0.3714347649779215,-0.2689499807431831,0.3714279185046044,0.0548862354755758,run2,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,not significant
tone_discrimination,0.0900394653213858,0.0900274360007016,-3.3737776842535,0.0266880352657069,0.0266880352631336,-0.2301495233688031,0.4102284540115749,-0.2301615526740503,0.4102164246754535,0.0007464839207059,run1,apc,baseline,0.0,0.0,0,english,0.0,significant
tone_discrimination,0.0866720080753884,0.0866604286487918,-3.247599101687823,0.026688034558745,0.0266880345563605,-0.2335169763739219,0.4068609925246988,-0.2335285557862146,0.4068494130837983,0.0011707059044269,run3,apc,baseline,0.0,0.0,0,english,0.0,significant
tone_discrimination,0.076678238122253,0.0766679938686629,-2.873132661565118,0.026688032619296,0.0266880326174297,-0.2435107346928131,0.3968672109373192,-0.2435209789352077,0.3968569666725337,0.0040795100912899,run2,apc,baseline,0.0,0.0,0,english,0.0,significant
tone_discrimination,0.1561938714660646,0.1561730038813663,-5.852582488006021,0.0266880546180996,0.0266880546103556,-0.1639952333140097,0.4763829762461389,-0.1640161008522536,0.4763621086149864,5.1142830252974715e-09,run1,apc,baseline,43.7,43.7,10926,english,0.5,significant
tone_discrimination,0.1667908359566453,0.1667685526118281,-6.249650620202672,0.0266880586843329,0.0266880586755024,-0.1533982932156817,0.4869799651289723,-0.1534205765075273,0.4869576817311836,4.41720670400752e-10,run3,apc,baseline,43.7,43.7,10926,english,0.5,significant
tone_discrimination,0.1246573965536261,0.1246407422588294,-4.670911151777704,0.02668804409561,0.0266880440906774,-0.1955316451048211,0.4448464382120733,-0.1955482993700286,0.4448297838876874,3.0688147472724507e-06,run2,apc,baseline,43.7,43.7,10926,english,0.5,significant
tone_discrimination,0.1065946934572122,0.1065804523492019,-3.994101883681088,0.0266880391331444,0.0266880391295377,-0.2135943184327146,0.4267837053471391,-0.2136085595190894,0.4267694642174933,6.577631291134625e-05,run1,apc,baseline,223.9,223.9,55976,english,2.6,significant
tone_discrimination,0.1225561363377655,0.1225397627724565,-4.592176956724722,0.0266880434784736,0.0266880434737059,-0.1976329016186438,0.4427451742941749,-0.1976492751553527,0.4427288007002657,4.482900828224363e-06,run3,apc,baseline,223.9,223.9,55976,english,2.6,significant
