type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
ids_preference,-0.4195141021611901,-0.4181907138262968,-3.2495422623388928,0.0170333168373168,0.0170310072356886,-0.6753124313394487,-0.1637157729829315,-0.673971700161954,-0.1624097274906397,0.0013702915729661,run1,apc,preterm,0.0,43.7,10926,english,0.0,significant
ids_preference,-0.3608141512839504,-0.3596759362956729,-2.794854397997407,0.016937889274514,0.0169361807898961,-0.6158949309548667,-0.1057333716130341,-0.6147438509462952,-0.1046080216450507,0.0056855849078199,run3,apc,preterm,0.0,43.7,10926,english,0.0,significant
ids_preference,-0.3634913500876983,-0.3623446896773271,-2.815591890760212,0.0169419290866428,0.0169401951544528,-0.6186025472732759,-0.1083801529021207,-0.6174428317723897,-0.1072465475822645,0.0053506474399066,run2,apc,preterm,0.0,43.7,10926,english,0.0,significant
ids_preference,-0.7875121932743342,-0.7850279276804089,-6.100043218973545,0.0179586988636578,0.0179505600984129,-1.0501671040565008,-0.5248572824921676,-1.0476233149712908,-0.5224325403895269,5.032387239014658e-09,run1,apc,preterm,562.5,606.2,151551,english,7.5,significant
ids_preference,-0.6687167240729757,-0.6666072075932502,-5.17985747133003,0.0175982959521976,0.0175924274358651,-0.9287227417240208,-0.4087107064219306,-0.9265698694332258,-0.4066445457532746,5.471402229895894e-07,run3,apc,preterm,562.5,606.2,151551,english,7.5,significant
ids_preference,-0.8485587622117697,-0.845881920690597,-6.572907908649126,0.0181667749435966,0.0181573254661483,-1.1127308989912648,-0.5843866254322747,-1.1099853437508629,-0.5817784976303313,3.608358899313034e-10,run2,apc,preterm,562.5,606.2,151551,english,7.5,significant
ids_preference,-0.8016172065918344,-0.7990884456877593,-6.209300182326969,0.0180053961373002,0.0179969632167326,-1.064613381111016,-0.538621032072653,-1.0620230251835443,-0.536153866191974,3.00550651878159e-09,run1,apc,preterm,693.0,736.7,184176,english,9.0,significant
ids_preference,-0.6794670196948364,-0.6773235906106255,-5.263128903150577,0.0176284904809437,0.0176224317633284,-0.939695996278044,-0.4192380431116286,-0.9375078444372522,-0.4171393367839988,3.423544707065553e-07,run3,apc,preterm,693.0,736.7,184176,english,9.0,significant
ids_preference,-0.5302565528797901,-0.5285838192744912,-4.107349597041559,0.0172524416913999,0.0172487517791641,-0.787694981079504,-0.2728181246800762,-0.7859947158349004,-0.2711729227140819,5.658232200488885e-05,run2,apc,preterm,693.0,736.7,184176,english,9.0,significant
ids_preference,-0.4786892627709507,-0.4771792020051117,-3.707911085440396,0.017144048771442,0.0171410416475546,-0.7353177050283639,-0.2220608205135375,-0.733785136529012,-0.2205732674812114,0.0002698840633307,run1,apc,preterm,823.5,867.2,216801,english,10.5,significant
ids_preference,-0.8151921332139779,-0.81262054919753,-6.314451111794069,0.018051121279279,0.0180424003270377,-1.078522038583091,-0.5518622278448648,-1.0758868362203722,-0.5493542621746879,1.625554243393468e-09,run3,apc,preterm,823.5,867.2,216801,english,10.5,significant
ids_preference,-0.5993845574116613,-0.5974937543914353,-4.642812817658536,0.0174151288492991,0.0174104141386182,-0.8580339346227128,-0.3407351802006098,-0.8561081178067972,-0.3388793909760733,6.0480591765168086e-06,run2,apc,preterm,823.5,867.2,216801,english,10.5,significant
ids_preference,-0.722914889721567,-0.720634401110458,-5.599674657234001,0.017755429037044,0.0177485707084663,-0.9840791091115162,-0.4617506703316179,-0.9817481761257782,-0.4595206260951377,6.617358036717967e-08,run1,apc,preterm,954.0,997.7,249426,english,12.0,significant
ids_preference,-0.4995834164494448,-0.4980074435268913,-3.869756503900208,0.0171866324791485,0.0171833571121003,-0.7565303777762005,-0.2426364551226891,-0.7549299196698229,-0.2410849673839598,0.0001436438833984,run3,apc,preterm,954.0,997.7,249426,english,12.0,significant
ids_preference,-0.6089690454679773,-0.6070480074696556,-4.717053942906605,0.0174392568715378,0.0174343901736934,-0.8677975352744896,-0.350140555661465,-0.8658403796836718,-0.3482556352556394,4.332846691831852e-06,run2,apc,preterm,954.0,997.7,249426,english,12.0,significant
